model,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae,overfit_gap_r2,best_params,note
SVR (target-scaled),0.8600596926992163,0.9236554448032784,4537.437025486092,3317.452249691916,2222.791138497518,1756.0800224180737,-0.0635957521040621,"{""C"": 100, ""epsilon"": 0.1, ""gamma"": 0.01}",TransformedTargetRegressor; inputs+target scaled
Gradient Boosting,0.8816448932627077,0.9196076047481072,4172.849289871195,3404.2632003007293,2373.2649510029173,2108.498984934204,-0.037962711485399536,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50}",GridSearchCV 5-fold; unscaled
XGBoost,0.8755865247215129,0.9187490260266737,4278.316501694534,3422.39343197025,2399.8892323925106,2105.5852645834307,-0.04316250130516086,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50, ""subsample"": 0.8}",GridSearchCV 5-fold; unscaled
Random Forest,0.8720689721432011,0.9179032525340997,4338.375546890158,3440.159840033095,2466.981879158602,2149.8772555459327,-0.04583428039089854,"{""max_depth"": 5, ""min_samples_split"": 10, ""n_estimators"": 100}",GridSearchCV 5-fold; unscaled
Lasso Regression,0.8339773980571658,0.8978582059516951,4942.228341991481,3837.226073228069,3005.721113432279,2526.1119780318572,-0.06388080789452932,"{""alpha"": 10}","Pipeline(StandardScaler+Lasso), 5-fold GridSearchCV"
Ridge Regression,0.8340738801365242,0.8974532374352537,4940.792074403123,3844.8254038543814,3006.6953564855817,2534.401754172063,-0.06337935729872957,"{""alpha"": 1}","Pipeline(StandardScaler+Ridge), 5-fold GridSearchCV"
Elastic-Net,0.834080083099015,0.8974131837130193,4940.699720545954,3845.5762053920644,3006.4471348454435,2534.9029039774064,-0.06333310061400421,"{""alpha"": 0.001, ""l1_ratio"": 0.1}","Pipeline(StandardScaler+ElasticNet), 5-fold GridSearchCV"
Linear Regression,0.8341604001570734,0.8962625633968286,4939.503750502309,3867.0821852061745,3004.3592834259125,2548.33047207072,-0.06210216323975526,{},OLS on scaled features; baseline
KNN,0.9983383342302093,0.8951798060116686,494.43708313188023,3887.211093619068,29.60017904583723,2403.7293836758613,0.10315852821854077,"{""n_neighbors"": 10, ""p"": 1, ""weights"": ""distance""}",Pipeline(StandardScaler+KNN)
Decision Tree,0.8610665604709342,0.8938722169231399,4521.084172481831,3911.381632849007,2670.3830691574753,2342.997868433826,-0.03280565645220568,"{""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 2}",GridSearchCV 5-fold; unscaled
Polynomial Regression (deg 2),0.8352892310249822,0.892121704685785,4922.664029656003,3943.50761229634,2997.675560607539,2622.8923262000103,-0.056832473660802796,"{""degree"": 2, ""raw_features"": 8, ""poly_features"": 44}",PolynomialFeatures(2)+StandardScaler+LinearRegression on raw encoded features
SVR,0.29415600326059066,0.36247999945346576,10190.45467358337,9586.55466391706,5608.884601519123,5120.316783956007,-0.0683239961928751,"{""C"": 100, ""epsilon"": 0.5, ""gamma"": 0.01}",Pipeline(StandardScaler+SVR rbf); target NOT scaled
