,shap_mean_abs_usd,shap_rank,builtin_importance,builtin_rank
smoker_bmi,6183.122514685231,1,0.8016537635117937,1
age,1429.0510239598923,2,0.05539317784001274,2
age_bmi,935.4215785546255,3,0.03548142891654739,3
age_squared,918.386776899118,4,0.027117513495629415,4
smoker_age,831.9022680257982,5,0.027112616748217692,5
children,663.3755244456678,6,0.010396424204497635,7
smoker,578.6889588752898,7,0.02384642023898145,6
region_mean_bmi,193.44320203371413,8,0.0014310871756169953,11
bmi_squared,176.4990365023002,9,0.007461980295689525,8
smoker_mean_charges,164.85693458398018,10,0.004120761900717162,9
bmi,143.02645104592426,11,0.0036126426964940748,10
region_northeast,123.74706185819834,12,0.0009568250024694471,12
sex,93.42736110431755,13,0.0004455715545015379,13
region_mean_charges,43.90672364150702,14,0.00027174190759198294,16
bmi_category_ord,13.360476486699943,15,0.000403650316181745,14
age_group_ord,6.656904479614551,16,0.000294394195057407,15
region_northwest,0.0,18,0.0,18
region_southwest,0.0,18,0.0,18
region_southeast,0.0,18,0.0,18
smoker_children,0.0,18,0.0,18
